City,Cuisines, Average Rating City-Cuisine Pair , Total Votes for a City-Cuisine Pair ,,
Faridabad,"South Indian, North Indian, Chinese", 4.80 , 314.00 ,,
Savannah,"American, Bar Food, Sandwich", 4.50 , 591.00 ,,
Macon,"Japanese, Sushi, Thai", 4.40 , 270.00 ,,
Macon,"Japanese, Sushi, Thai", 4.40 , 270.00 ,,
Aurangabad,"North Indian, Chinese", 4.80 , 229.00 ,,
Nashik,"Cafe, Desserts", 4.40 , 336.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
Faridabad,Cafe, -   , 2.00 ,,
Faridabad,Cafe, -   , 2.00 ,,
Faridabad,Cafe, -   , 2.00 ,,
Faridabad,Cafe, -   , 2.00 ,,
Faridabad,Cafe, -   , 2.00 ,,
Faridabad,Cafe, -   , 2.00 ,,
Faridabad,Cafe, -   , 2.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
New Delhi,"Chinese, North Indian", 4.00 , 520.00 ,,
Guwahati,"Cafe, Continental, Chinese", -   , 2.00 ,,
New Delhi,"Cafe, Continental, North Indian", 4.40 , 22.00 ,,
Pune,"Italian, Continental, Cafe", 4.60 , 58.00 ,,
Dubuque,"American, Burger", 4.10 , 11.00 ,,
Dubuque,"American, Burger", 4.10 , 11.00 ,,
London,"Indian, Cafe, Curry", 3.30 , 25.00 ,,
New Delhi,"North Indian, Mithai, Street Food", 3.40 , 45.00 ,,
Gurgaon,"Street Food, Mithai", 3.40 , 26.00 ,,
Gurgaon,"Street Food, Mithai", 3.40 , 26.00 ,,
Kolkata,Bengali, 3.90 , 141.00 ,,
New Delhi,"Gujarati, South Indian, North Indian", 3.70 , 147.00 ,,
New Delhi,"Chinese, South Indian", 3.50 , 51.00 ,,
New Delhi,"Chinese, South Indian", 3.50 , 51.00 ,,
New Delhi,"Chinese, South Indian", 3.50 , 51.00 ,,
New Delhi,"Chinese, South Indian", 3.50 , 51.00 ,,
New Delhi,"Chinese, South Indian", 3.50 , 51.00 ,,
New Delhi,"Chinese, South Indian", 3.50 , 51.00 ,,
New Delhi,"Chinese, South Indian", 3.50 , 51.00 ,,
New Delhi,"Chinese, South Indian", 3.50 , 51.00 ,,
New Delhi,"Chinese, South Indian", 3.50 , 51.00 ,,
Faridabad,Finger Food, 3.40 , 20.00 ,,
Gurgaon,"Healthy Food, Fast Food, Salad", 3.50 , 25.00 ,,
Noida,"South Indian, North Indian, Street Food", 4.50 ," 1,821.00 ",,
Surat,Gujarati, 4.50 , 849.00 ,,
Chandigarh,"Burger, Fast Food, Desserts, Beverages", 4.60 , 917.00 ,,
Indore,"Cafe, Italian, Mexican, Chinese", 3.90 , 439.00 ,,
Savannah,"American, Southern", 3.70 , 289.00 ,,
Wellington City,American, 4.30 , 558.00 ,,
Wellington City,American, 4.30 , 558.00 ,,
Faridabad,Chinese, 4.00 , 353.00 ,,
Faridabad,Chinese, 4.00 , 353.00 ,,
Faridabad,Chinese, 4.00 , 353.00 ,,
Faridabad,Chinese, 4.00 , 353.00 ,,
Faridabad,Chinese, 4.00 , 353.00 ,,
Faridabad,Chinese, 4.00 , 353.00 ,,
Faridabad,Chinese, 4.00 , 353.00 ,,
Faridabad,Chinese, 4.00 , 353.00 ,,
Faridabad,Chinese, 4.00 , 353.00 ,,
Bhubaneshwar,Cafe, 4.40 , 546.00 ,,
Bhubaneshwar,Cafe, 4.40 , 546.00 ,,
Jaipur,"Chinese, Asian", 4.20 , 579.00 ,,
Ludhiana,"North Indian, Mughlai", 4.10 , 374.00 ,,
Noida,"Cafe, Healthy Food, Continental, Italian, Asian", 4.60 , 717.00 ,,
Gurgaon,"North Indian, South Indian, Chinese, Healthy Food, Bakery", 4.90 , 548.00 ,,
New Delhi,"North Indian, South Indian, Chinese, Street Food", 4.50 , 631.00 ,,
New Delhi,"North Indian, South Indian, Chinese, Street Food", 4.50 , 631.00 ,,
Bhubaneshwar,"Chinese, North Indian, Cafe", 3.90 , 201.00 ,,
Mc Millan,"Breakfast, Burger", 3.80 , 332.00 ,,
Gurgaon,"North Indian, Biryani, Chinese", 3.50 , 304.00 ,,
Colombo,"Juices, Desserts", 4.30 , 368.00 ,,
Columbus,"Italian, Pizza", 4.10 , 430.00 ,,
Nashik,Chinese, 4.40 , 433.00 ,,
Boise,Pizza, 4.00 , 380.00 ,,
Boise,Pizza, 4.00 , 380.00 ,,
Pocatello,"Pizza, Sandwich", 4.20 , 647.00 ,,
New Delhi,"Asian, North Indian, Japanese", 4.00 , 360.00 ,,
Gurgaon,"Cafe, Fast Food, Chinese", 4.00 , 227.00 ,,
New Delhi,"Cafe, Italian, Lebanese", 3.90 , 290.00 ,,
Gurgaon,"Beverages, Juices", 4.10 , 270.00 ,,
Princeton,Seafood, 4.30 , 317.00 ,,
Goa,Finger Food, 4.20 , 300.00 ,,
Goa,Finger Food, 4.20 , 300.00 ,,
Gurgaon,"Continental, American, Asian, North Indian", 4.60 , 237.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Gurgaon,Fast Food, 4.50 , 879.00 ,,
Mohali,"Continental, North Indian", 4.40 , 487.00 ,,
Sí£o Paulo,Indian, 3.70 , 98.00 ,,
Surat,"Italian, Lebanese, Mexican", 4.10 , 365.00 ,,
Rest of Hawaii,"Hawaiian, Seafood", 4.10 , 190.00 ,,
Dubai,"Indian, Rajasthani", 4.10 , 429.00 ,,
New Delhi,"Sushi, Asian", 4.40 , 430.00 ,,
New Delhi,"North Indian, Fast Food, Italian, Asian", 4.20 , 186.00 ,,
New Delhi,"Mughlai, Chinese, North Indian", 4.20 , 220.00 ,,
New Delhi,Lebanese, 4.20 , 347.00 ,,
New Delhi,Lebanese, 4.20 , 347.00 ,,
New Delhi,Lebanese, 4.20 , 347.00 ,,
Gurgaon,"North Indian, Mithai, Chinese", 4.90 , 820.00 ,,
New Delhi,"Mexican, Italian, American", 4.50 , 488.00 ,,
New Delhi,"Cafe, Chinese, Continental, Italian, Desserts, Beverages", 3.60 , 253.00 ,,
Columbus,"Breakfast, Diner, Southern", 3.80 , 220.00 ,,
Cedar Rapids/Iowa City,"American, Breakfast, Burger", 4.30 , 485.00 ,,
Cedar Rapids/Iowa City,"American, Breakfast, Burger", 4.30 , 485.00 ,,
New Delhi,"Naga, Tibetan, Chinese, Bakery", 4.10 , 294.00 ,,
Columbus,"Japanese, Steak, Sushi", 4.00 , 380.00 ,,
Dalton,"American, Japanese, Sushi", 4.20 , 259.00 ,,
Pretoria,"Burger, Steak, Seafood", 4.70 , 433.00 ,,
Singapore,Bakery, 3.70 , 176.00 ,,
New Delhi,"North Indian, Fast Food, Biryani", 4.30 , 96.00 ,,
New Delhi,"Cafe, Fast Food, Italian, Chinese", 3.10 , 6.00 ,,
Chennai,"North Indian, Chinese, Arabian", 3.30 , 33.00 ,,
Mysore,"Continental, North Indian, South Indian", 4.60 , 489.00 ,,
Noida,"North Indian, Mughlai, Hyderabadi", 4.50 , 345.00 ,,
Allahabad,"South Indian, North Indian, Chinese, Continental", 3.80 , 149.00 ,,
New Delhi,"Cafe, Korean", 3.90 , 330.00 ,,
New Delhi,"Street Food, Fast Food, Chinese, South Indian, North Indian", 3.90 , 247.00 ,,
Ranchi,"Cafe, Fast Food, North Indian", 3.70 , 123.00 ,,
New Delhi,"South Indian, Chinese", 3.60 , 109.00 ,,
New Delhi,"South Indian, Chinese", 3.60 , 109.00 ,,
New Delhi,"South Indian, Chinese", 3.60 , 109.00 ,,
New Delhi,"South Indian, Chinese", 3.60 , 109.00 ,,
New Delhi,"South Indian, Chinese", 3.60 , 109.00 ,,
New Delhi,"South Indian, Chinese", 3.60 , 109.00 ,,
New Delhi,"South Indian, Chinese", 3.60 , 109.00 ,,
